LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
1,25,8,500,81.5616,0.004031403,0.000530448,4,0,0.000265224,0.00344791,34.2016,69.7231,3.3385,17,0.00076915,6,0,0.00010609
1,24,2,300,75.783,0.000978181,0.000126588,6,0.000207144,1.15E-05,0.002807954,51.358,68.5738,4.8074,22,0.00054088,6,0.000126588,0.00047183
1,22,10,500,127.4898,0.004203468,0.000343474,7,0,0.000310762,0.003173046,34.5285,56.3918,6.2629,20,0.00099771,7,0.000130847,6.54E-05
1,39,12,450,53.769,0.000753726,0.000193815,6,0,0.00012921,0.002670342,52.6504,88.8387,3.8145,6,0.00077526,5,0,0
1,20,20,900,100.518,0.001610331,0.000322066,5,0.00026072,0,0.003558064,39.9654,65.7069,4.7672,15,0.00059812,6,0,0
1,21,32,300,80.7408,0.000758779,0.00017646,1,0.000344097,0.000441151,0.003538027,37.07,59.1421,4.1072,38,0.00058232,9,1.76E-05,0
1,20,8,500,49.7838,0.000273984,2.11E-05,0,0,0.000158068,0.002497471,58.9492,92.27,3.8101,22,0.00044259,7,0,6.32E-05
1,18,4,200,81.708,0.00053286,0.000199822,2,4.44E-05,0.00017762,0.003174956,33.2676,56.6434,4.7483,11,0.0008881,5,0,8.88E-05
1,18,8,90,122.1162,0.00288722,0.00040881,8,5.11E-05,0.000242731,0.00351321,30.9343,54.4582,5.7855,20,0.0023379,7,0.000102203,0
1,22,24,100,24.9042,0.000301136,4.30E-05,3,2.87E-05,0.000100379,0.001878513,75.3538,141.8931,2.4885,13,0.00045887,5,0,0
1,19,4,250,37.6506,0.000644496,9.67E-05,5,0,0.000139641,0.002459826,104.9298,92.4192,2.6681,14,0.00022557,7,0,0
1,26,10,1000,72.9042,0.003288512,0.000133976,2,0.000109617,0.000146156,0.00261863,51.0467,78.9023,4.1349,17,0.00064552,6,0,0
1,19,6,250,99.2052,0.001082005,0.000161352,4,9.49E-06,0.000180334,0.003454822,29.6749,58.956,5.0907,26,0.0010725,8,0.000237282,0.00062642
1,22,14,80,52.8882,0.002177831,0.000225293,6,5.63E-05,0.000131421,0.001558276,35.3659,103.5181,5.0241,12,0.00060078,5,0,0
1,18,28,270,57.201,0.001434034,0.000273149,1,0,2.28E-05,0.002754257,81.6266,90.0496,3.4132,17,0.00047801,5,0,0
1,22,14,700,34.9278,0.000265273,5.63E-05,2,2.41E-05,0.000136656,0.002411576,86.6622,94.7467,2.6567,33,0.00048232,7,0,3.22E-05
1,30,12,500,87.2712,0.000912997,0.000241676,0,2.69E-05,0.000349087,0.002819549,29.6538,66.7048,5.6476,15,0.00069817,3,0,0.00021482
1,32,12,200,52.3182,0.001140934,0.000406095,4,0.000154703,0.000174041,0.002281869,46.7692,88.339,3.9237,16,0.00073484,6,0,5.80E-05
1,20,8,100,73.7214,0.001414836,0.000456399,2,0,0.000243413,0.002418913,75.5696,96.5535,5.4277,12,0.0011258,7,4.56E-05,4.56E-05
1,22,30,2000,73.3212,0.000251419,7.18E-05,2,1.80E-05,0.000107751,0.002388478,35.0606,96.5414,5.7218,13,0.00057467,4,0,7.18E-05
1,18,42,30,95.6886,0.003645693,0.000540103,10,0,0.000303808,0.001620308,33.1064,110.3333,8.0833,7,0.0007764,4,0,0
1,23,28,800,83.6118,0.000736324,8.58E-05,4,4.29E-05,0.000171571,0.003817449,52.3977,57.3483,3.7959,24,0.00038603,5,0,0
1,22,14,1260,49.1904,0.001101367,0.000418111,5,0,4.08E-05,0.003049154,51.7047,79.2375,2.786,22,0.00040791,6,0,7.14E-05
1,21,18,500,46.4196,0.001279474,0.000228477,6,2.28E-05,0,0.002216231,69.125,91.134,3.4227,11,0.00093676,5,0,2.28E-05
1,20,20,16,73.2594,0.000954199,0.000136314,5,0,9.91E-05,0.003866363,52.8103,69.4359,3.2981,21,0.00069396,6,0,0
